Catégorie : Toutes catégories

Mois,flu: (Californie),fever: (Californie),migraine: (Californie),congestion: (Californie),sickness: (Californie)
2022-06,8,21,3,3,4
2022-07,7,21,4,3,4
2022-08,7,18,4,2,3
2022-09,15,16,3,3,3
2022-10,25,17,3,3,4
2022-11,33,25,3,5,4
2022-12,30,23,3,5,4
2023-01,13,14,4,3,3
2023-02,12,16,3,4,3
2023-03,9,17,4,3,4
2023-04,7,16,3,3,3
2023-05,7,17,3,3,4
2023-06,6,16,4,3,4
2023-07,5,14,3,2,4
2023-08,7,15,4,2,4
2023-09,15,15,4,3,4
2023-10,18,16,4,3,4
2023-11,18,18,3,3,4
2023-12,21,22,4,5,5
2024-01,15,18,3,4,4
2024-02,11,16,3,3,4
2024-03,9,16,4,3,4
2024-04,10,16,4,3,4
2024-05,9,23,3,3,4
2024-06,8,25,4,3,4
2024-07,6,20,4,2,4
2024-08,8,20,4,2,4
2024-09,14,24,4,3,4
2024-10,16,15,4,3,4
2024-11,15,15,4,3,4
