Catégorie : Toutes catégories

Mois,flu: (Californie),difficulty breathing: (Californie),sneezing: (Californie),dry cough: (Californie),difficulty sleeping: (Californie)
2013-05,5,< 1,1,< 1,0
2013-06,4,< 1,1,< 1,< 1
2013-07,3,< 1,1,< 1,< 1
2013-08,4,< 1,1,< 1,0
2013-09,10,< 1,1,< 1,0
2013-10,15,< 1,1,< 1,0
2013-11,12,< 1,1,1,0
2013-12,13,< 1,1,1,0
2014-01,38,< 1,1,1,0
2014-02,14,< 1,1,1,0
2014-03,7,< 1,1,1,0
2014-04,6,< 1,1,1,0
2014-05,5,< 1,1,< 1,0
2014-06,4,< 1,1,< 1,0
2014-07,4,< 1,1,< 1,< 1
2014-08,4,< 1,1,< 1,0
2014-09,10,< 1,1,< 1,< 1
2014-10,18,< 1,1,< 1,0
2014-11,12,< 1,1,1,0
2014-12,14,< 1,1,1,< 1
2015-01,21,< 1,1,1,0
2015-02,12,< 1,1,1,< 1
2015-03,9,< 1,1,1,0
2015-04,9,< 1,1,1,0
2015-05,6,< 1,1,1,0
2015-06,4,< 1,1,1,< 1
2015-07,4,< 1,1,< 1,0
2015-08,4,< 1,1,< 1,0
2015-09,9,< 1,1,< 1,0
2015-10,15,< 1,1,< 1,0
2015-11,13,< 1,1,1,0
2015-12,13,< 1,1,1,< 1
2016-01,12,< 1,1,1,< 1
2016-02,13,< 1,1,1,0
2016-03,10,< 1,1,1,< 1
2016-04,7,< 1,1,1,0
2016-05,7,< 1,1,1,0
2016-06,5,< 1,1,< 1,< 1
2016-07,4,< 1,1,< 1,< 1
2016-08,5,< 1,1,< 1,< 1
2016-09,11,< 1,1,< 1,0
2016-10,15,< 1,1,1,< 1
2016-11,11,< 1,1,1,0
2016-12,12,< 1,1,1,< 1
2017-01,16,< 1,1,1,0
2017-02,12,< 1,1,1,< 1
2017-03,8,< 1,1,1,< 1
2017-04,8,< 1,1,1,< 1
2017-05,7,< 1,1,1,< 1
2017-06,5,< 1,1,1,< 1
2017-07,4,< 1,1,1,< 1
2017-08,5,< 1,1,< 1,< 1
2017-09,11,< 1,1,< 1,< 1
2017-10,16,< 1,1,1,0
2017-11,14,< 1,1,1,< 1
2017-12,23,< 1,1,1,< 1
2018-01,65,< 1,1,1,< 1
2018-02,37,< 1,1,1,< 1
2018-03,16,< 1,1,1,< 1
2018-04,9,< 1,1,1,< 1
2018-05,6,< 1,1,1,< 1
2018-06,5,< 1,1,1,< 1
2018-07,4,< 1,1,1,0
2018-08,6,< 1,1,< 1,< 1
2018-09,14,< 1,1,1,< 1
2018-10,22,< 1,1,1,< 1
2018-11,17,< 1,1,1,0
2018-12,16,< 1,1,1,< 1
2019-01,19,< 1,1,1,< 1
2019-02,16,< 1,1,1,0
2019-03,15,< 1,1,1,< 1
2019-04,9,< 1,1,1,< 1
2019-05,7,< 1,1,1,< 1
2019-06,6,< 1,1,1,< 1
2019-07,5,< 1,1,1,< 1
2019-08,7,< 1,1,1,< 1
2019-09,16,< 1,1,1,< 1
2019-10,23,< 1,1,1,< 1
2019-11,19,< 1,1,1,< 1
2019-12,21,< 1,1,1,< 1
2020-01,37,< 1,1,1,< 1
2020-02,41,< 1,2,1,< 1
2020-03,93,< 1,3,5,< 1
2020-04,43,< 1,2,2,< 1
2020-05,22,< 1,2,1,< 1
2020-06,13,< 1,2,1,< 1
2020-07,18,< 1,2,1,< 1
2020-08,15,< 1,2,1,< 1
2020-09,29,< 1,2,1,< 1
2020-10,32,< 1,2,1,< 1
2020-11,21,< 1,2,1,< 1
2020-12,22,< 1,3,1,< 1
2021-01,14,< 1,2,1,< 1
2021-02,10,< 1,2,1,< 1
2021-03,8,< 1,2,1,< 1
2021-04,8,< 1,2,1,< 1
2021-05,6,< 1,2,1,< 1
2021-06,9,< 1,2,1,< 1
2021-07,8,< 1,2,1,< 1
2021-08,12,< 1,2,1,< 1
2021-09,20,< 1,2,1,< 1
2021-10,24,< 1,2,1,< 1
2021-11,18,< 1,2,1,< 1
2021-12,18,< 1,2,1,< 1
2022-01,18,< 1,3,2,< 1
2022-02,8,< 1,2,1,< 1
2022-03,8,< 1,2,1,< 1
2022-04,10,< 1,2,1,< 1
2022-05,10,< 1,2,1,< 1
2022-06,8,< 1,2,1,< 1
2022-07,7,< 1,2,1,< 1
2022-08,7,< 1,2,1,< 1
2022-09,15,< 1,2,1,< 1
2022-10,25,< 1,2,1,< 1
2022-11,33,< 1,2,2,< 1
2022-12,30,< 1,2,2,< 1
2023-01,13,< 1,2,1,< 1
2023-02,12,< 1,2,1,< 1
2023-03,9,< 1,2,1,< 1
2023-04,7,< 1,2,1,< 1
2023-05,7,< 1,2,1,< 1
2023-06,6,< 1,2,1,< 1
2023-07,5,< 1,2,1,< 1
2023-08,7,< 1,2,1,< 1
2023-09,15,< 1,2,1,< 1
2023-10,18,< 1,2,1,< 1
2023-11,18,< 1,2,1,< 1
2023-12,21,< 1,2,2,< 1
2024-01,15,< 1,2,1,< 1
2024-02,11,< 1,2,1,< 1
2024-03,9,< 1,2,1,< 1
2024-04,10,< 1,2,1,< 1
2024-05,9,< 1,2,1,< 1
2024-06,8,< 1,2,1,< 1
2024-07,6,< 1,2,1,< 1
2024-08,8,< 1,2,1,< 1
2024-09,14,< 1,2,1,< 1
2024-10,16,< 1,1,1,< 1
2024-11,15,< 1,2,1,< 1
