Catégorie : Toutes catégories

Mois,flu: (Californie),bronchitis: (Californie),pneumonia: (Californie),flu symptoms: (Californie),headache: (Californie)
2009-01,6,2,3,1,3
2009-02,6,2,3,1,3
2009-03,5,2,3,1,3
2009-04,100,1,3,13,3
2009-05,61,1,3,9,3
2009-06,17,1,2,4,3
2009-07,14,1,2,4,3
2009-08,20,1,2,5,3
2009-09,34,1,2,9,3
2009-10,67,2,3,16,3
2009-11,44,2,3,10,3
2009-12,16,2,3,4,3
2010-01,9,2,3,2,3
2010-02,6,2,4,2,3
2010-03,4,2,3,1,3
2010-04,3,1,2,1,3
2010-05,3,1,2,1,3
2010-06,2,1,2,1,3
2010-07,2,1,2,< 1,3
2010-08,3,1,2,< 1,3
2010-09,6,1,2,1,3
2010-10,8,1,2,1,3
2010-11,6,1,3,1,3
2010-12,5,1,3,1,3
2011-01,9,3,5,2,5
2011-02,10,3,6,2,5
2011-03,7,3,5,2,5
2011-04,5,2,4,1,5
2011-05,4,2,4,1,5
2011-06,4,2,3,1,5
2011-07,3,1,2,1,4
2011-08,4,1,2,1,4
2011-09,7,1,3,1,5
2011-10,12,2,3,1,5
2011-11,9,2,4,1,5
2011-12,9,2,4,2,4
2012-01,8,3,5,2,5
2012-02,9,3,5,2,5
2012-03,8,3,4,2,5
2012-04,5,2,3,1,5
2012-05,4,2,3,1,5
2012-06,4,1,3,1,5
2012-07,3,1,2,1,5
2012-08,4,1,2,1,5
2012-09,9,2,3,1,6
2012-10,14,2,3,2,5
2012-11,12,2,4,2,5
2012-12,12,3,4,2,5
2013-01,45,4,6,8,6
2013-02,17,4,5,4,6
2013-03,10,3,4,2,5
2013-04,7,2,3,1,6
2013-05,5,2,3,1,5
2013-06,4,2,3,1,6
2013-07,3,1,2,1,6
2013-08,4,1,2,1,6
2013-09,10,2,3,1,6
2013-10,15,2,3,1,6
2013-11,12,2,4,1,6
2013-12,13,3,4,2,6
2014-01,38,4,7,7,7
2014-02,14,3,5,3,6
2014-03,7,2,4,1,6
2014-04,6,2,3,1,6
2014-05,5,2,3,1,6
2014-06,4,1,3,1,6
2014-07,4,1,3,1,6
2014-08,4,1,2,1,6
2014-09,10,1,3,1,6
2014-10,18,2,3,2,6
2014-11,12,2,4,2,6
2014-12,14,3,5,2,6
2015-01,21,4,7,4,8
2015-02,12,4,6,2,7
2015-03,9,3,5,2,7
2015-04,9,3,4,1,7
2015-05,6,2,4,1,6
2015-06,4,2,3,1,7
2015-07,4,1,3,1,7
2015-08,4,1,3,1,6
2015-09,9,2,4,1,6
2015-10,15,2,4,1,7
2015-11,13,3,4,2,6
2015-12,13,3,5,2,6
2016-01,12,3,5,2,8
2016-02,13,4,6,2,8
2016-03,10,3,5,2,7
2016-04,7,2,4,1,7
2016-05,7,2,3,1,7
2016-06,5,2,3,1,7
2016-07,4,1,3,1,7
2016-08,5,1,3,1,7
2016-09,11,2,7,1,7
2016-10,15,2,3,1,7
2016-11,11,2,4,1,7
2016-12,12,3,5,2,7
2017-01,16,4,6,2,8
2017-02,12,3,5,2,8
2017-03,8,3,5,1,8
2017-04,8,3,5,1,8
2017-05,7,2,4,1,8
2017-06,5,2,3,1,8
2017-07,4,2,3,1,8
2017-08,5,1,3,1,8
2017-09,11,2,3,1,8
2017-10,16,2,4,1,8
2017-11,14,2,4,2,9
2017-12,23,4,6,4,9
2018-01,65,5,9,11,9
2018-02,37,3,7,7,8
2018-03,16,3,6,3,9
2018-04,9,2,4,1,9
2018-05,6,2,4,1,9
2018-06,5,2,3,1,8
2018-07,4,1,3,1,9
2018-08,6,1,2,1,8
2018-09,14,2,3,1,8
2018-10,22,2,3,2,9
2018-11,17,3,5,2,9
2018-12,16,3,6,2,9
2019-01,19,3,7,3,9
2019-02,16,4,7,3,9
2019-03,15,4,7,2,10
2019-04,9,3,5,1,9
2019-05,7,3,5,1,8
2019-06,6,2,4,1,9
2019-07,5,2,3,1,9
2019-08,7,2,3,1,8
2019-09,16,2,4,1,8
2019-10,23,2,5,2,9
2019-11,19,3,5,2,9
2019-12,21,4,7,3,9
2020-01,37,5,9,5,10
2020-02,41,4,9,5,10
2020-03,93,4,14,7,12
2020-04,43,2,6,2,12
2020-05,22,1,3,1,10
2020-06,13,1,3,1,10
2020-07,18,1,4,1,11
2020-08,15,1,3,1,10
2020-09,29,1,3,1,9
2020-10,32,1,3,1,10
2020-11,21,1,3,2,10
2020-12,22,1,6,2,12
2021-01,14,1,6,1,12
2021-02,10,1,4,1,10
2021-03,8,1,3,1,10
2021-04,8,1,3,1,10
2021-05,6,1,3,1,10
2021-06,9,1,3,1,9
2021-07,8,1,3,1,10
2021-08,12,1,5,1,10
2021-09,20,2,5,1,10
2021-10,24,2,4,1,9
2021-11,18,2,4,2,9
2021-12,18,3,5,2,10
2022-01,18,3,8,3,14
2022-02,8,2,4,1,10
2022-03,8,2,4,1,9
2022-04,10,2,4,1,10
2022-05,10,2,4,1,10
2022-06,8,2,4,1,11
2022-07,7,2,3,1,11
2022-08,7,2,3,1,10
2022-09,15,2,4,1,10
2022-10,25,2,5,2,9
2022-11,33,4,7,4,11
2022-12,30,4,7,4,11
2023-01,13,3,5,2,10
2023-02,12,3,6,2,10
2023-03,9,3,5,1,10
2023-04,7,2,4,1,10
2023-05,7,2,4,1,9
2023-06,6,2,3,1,10
2023-07,5,2,3,1,10
2023-08,7,1,3,1,10
2023-09,15,2,4,1,10
2023-10,18,2,5,2,10
2023-11,18,3,7,2,10
2023-12,21,4,9,3,11
2024-01,15,3,6,2,11
2024-02,11,3,6,2,10
2024-03,9,3,6,1,10
2024-04,10,3,6,1,10
2024-05,9,3,5,1,10
2024-06,8,2,4,1,11
2024-07,6,2,3,1,10
2024-08,8,1,3,1,10
2024-09,14,2,4,1,9
2024-10,16,2,7,1,10
2024-11,15,3,8,2,9
