Catégorie : Toutes catégories

Semaine,flu: (Californie),shaking shills: (Californie),myalgia: (Californie),irratibility: (Californie),diarrhea: (Californie)
2018-03-18,11,0,< 1,0,8
2018-03-25,11,0,< 1,0,8
2018-04-01,9,0,< 1,0,9
2018-04-08,8,0,< 1,0,8
2018-04-15,7,0,< 1,0,8
2018-04-22,7,0,< 1,0,8
2018-04-29,6,0,< 1,0,8
2018-05-06,6,0,< 1,0,8
2018-05-13,5,0,< 1,0,8
2018-05-20,5,0,< 1,0,8
2018-05-27,5,0,< 1,0,8
2018-06-03,5,0,< 1,0,8
2018-06-10,5,0,< 1,0,8
2018-06-17,5,0,< 1,0,8
2018-06-24,4,0,< 1,0,9
2018-07-01,4,0,< 1,0,9
2018-07-08,4,0,< 1,0,9
2018-07-15,4,0,< 1,0,9
2018-07-22,4,0,< 1,0,10
2018-07-29,4,0,< 1,0,9
2018-08-05,4,0,< 1,0,9
2018-08-12,5,0,< 1,0,9
2018-08-19,6,0,< 1,0,9
2018-08-26,7,0,< 1,0,8
2018-09-02,10,0,< 1,0,9
2018-09-09,10,0,< 1,0,8
2018-09-16,13,0,< 1,0,8
2018-09-23,17,0,< 1,0,8
2018-09-30,20,0,< 1,0,8
2018-10-07,20,0,< 1,0,8
2018-10-14,20,0,< 1,0,8
2018-10-21,18,0,< 1,0,8
2018-10-28,16,0,< 1,0,8
2018-11-04,14,0,< 1,0,8
2018-11-11,13,0,< 1,0,8
2018-11-18,12,0,< 1,0,8
2018-11-25,13,0,< 1,0,8
2018-12-02,13,0,< 1,0,7
2018-12-09,12,0,< 1,0,8
2018-12-16,13,0,< 1,0,8
2018-12-23,16,0,< 1,0,9
2018-12-30,19,0,< 1,0,10
2019-01-06,21,0,< 1,0,9
2019-01-13,14,0,< 1,0,8
2019-01-20,13,0,< 1,0,8
2019-01-27,14,0,< 1,0,8
2019-02-03,12,0,< 1,0,7
2019-02-10,13,0,< 1,0,7
2019-02-17,14,0,< 1,0,8
2019-02-24,14,0,< 1,0,8
2019-03-03,13,0,< 1,0,8
2019-03-10,13,0,< 1,0,8
2019-03-17,13,0,< 1,0,8
2019-03-24,12,0,< 1,0,8
2019-03-31,10,0,< 1,0,8
2019-04-07,9,0,< 1,0,8
2019-04-14,8,0,< 1,0,8
2019-04-21,7,0,< 1,0,8
2019-04-28,7,0,< 1,0,8
2019-05-05,7,0,< 1,0,8
2019-05-12,6,0,< 1,0,9
2019-05-19,6,0,< 1,0,8
2019-05-26,6,0,< 1,0,8
2019-06-02,6,0,< 1,0,9
2019-06-09,5,0,< 1,0,8
2019-06-16,5,0,< 1,0,9
2019-06-23,5,0,< 1,0,10
2019-06-30,4,0,< 1,0,9
2019-07-07,5,0,< 1,0,9
2019-07-14,5,0,< 1,0,10
2019-07-21,4,0,< 1,0,9
2019-07-28,4,0,< 1,0,9
2019-08-04,5,0,< 1,0,9
2019-08-11,5,0,< 1,0,9
2019-08-18,6,0,< 1,0,9
2019-08-25,7,0,< 1,0,9
2019-09-01,8,0,< 1,0,8
2019-09-08,10,0,< 1,0,8
2019-09-15,13,0,< 1,0,8
2019-09-22,19,0,< 1,0,8
2019-09-29,21,0,< 1,0,7
2019-10-06,23,0,< 1,0,7
2019-10-13,21,0,< 1,0,9
2019-10-20,19,0,< 1,0,8
2019-10-27,16,0,< 1,0,8
2019-11-03,18,0,< 1,0,8
2019-11-10,16,0,< 1,0,9
2019-11-17,16,0,< 1,0,9
2019-11-24,13,0,< 1,0,8
2019-12-01,15,0,< 1,0,8
2019-12-08,17,0,< 1,0,8
2019-12-15,18,0,< 1,0,8
2019-12-22,22,0,< 1,0,9
2019-12-29,25,0,< 1,0,9
2020-01-05,25,0,< 1,0,9
2020-01-12,29,0,< 1,0,9
2020-01-19,35,0,< 1,0,8
2020-01-26,45,0,< 1,0,8
2020-02-02,37,< 1,< 1,0,8
2020-02-09,31,0,< 1,0,8
2020-02-16,26,0,< 1,0,9
2020-02-23,49,0,< 1,0,8
2020-03-01,63,0,< 1,0,9
2020-03-08,100,0,< 1,0,10
2020-03-15,93,0,< 1,0,10
2020-03-22,75,0,< 1,0,10
2020-03-29,60,0,< 1,0,9
2020-04-05,46,0,< 1,0,9
2020-04-12,33,0,< 1,0,8
2020-04-19,32,0,< 1,0,8
2020-04-26,28,0,< 1,0,8
2020-05-03,22,0,< 1,0,8
2020-05-10,21,0,< 1,0,8
2020-05-17,18,0,< 1,0,8
2020-05-24,17,0,< 1,0,9
2020-05-31,7,0,< 1,0,8
2020-06-07,8,0,< 1,0,9
2020-06-14,9,0,< 1,0,9
2020-06-21,13,0,< 1,0,10
2020-06-28,23,0,1,0,10
2020-07-05,14,0,1,0,10
2020-07-12,17,0,< 1,0,10
2020-07-19,15,0,< 1,0,10
2020-07-26,12,0,< 1,0,9
2020-08-02,13,0,< 1,0,9
2020-08-09,14,0,< 1,0,9
2020-08-16,12,0,< 1,0,8
2020-08-23,13,0,< 1,0,8
2020-08-30,17,0,< 1,0,8
2020-09-06,21,0,< 1,0,8
2020-09-13,26,0,< 1,0,8
2020-09-20,30,0,< 1,0,9
2020-09-27,30,0,< 1,0,9
2020-10-04,34,0,< 1,0,9
2020-10-11,26,0,< 1,0,9
2020-10-18,25,0,< 1,0,9
2020-10-25,25,0,< 1,0,8
2020-11-01,15,0,< 1,0,7
2020-11-08,20,0,< 1,0,8
2020-11-15,23,0,< 1,0,9
2020-11-22,16,0,< 1,0,9
2020-11-29,20,0,< 1,0,8
2020-12-06,20,0,< 1,0,8
2020-12-13,20,0,< 1,0,9
2020-12-20,16,0,< 1,0,9
2020-12-27,17,0,< 1,0,9
2021-01-03,15,0,< 1,0,10
2021-01-10,12,0,< 1,0,9
2021-01-17,11,0,< 1,0,9
2021-01-24,10,0,< 1,0,8
2021-01-31,8,0,< 1,0,9
2021-02-07,8,0,< 1,0,9
2021-02-14,8,0,< 1,0,8
2021-02-21,9,0,< 1,0,9
2021-02-28,8,0,< 1,0,9
2021-03-07,7,0,< 1,0,7
2021-03-14,7,0,< 1,0,8
2021-03-21,7,0,< 1,0,9
2021-03-28,7,0,< 1,0,8
2021-04-04,7,0,< 1,0,9
2021-04-11,7,0,< 1,0,9
2021-04-18,7,0,< 1,0,9
2021-04-25,6,0,< 1,0,9
2021-05-02,6,0,< 1,0,9
2021-05-09,6,0,< 1,0,9
2021-05-16,6,0,< 1,0,10
2021-05-23,6,0,< 1,0,10
2021-05-30,13,0,< 1,0,10
2021-06-06,6,0,< 1,0,10
2021-06-13,6,0,< 1,0,10
2021-06-20,5,0,< 1,0,10
2021-06-27,5,0,< 1,0,10
2021-07-04,6,0,< 1,0,12
2021-07-11,7,0,< 1,0,11
2021-07-18,7,0,< 1,0,11
2021-07-25,8,0,< 1,0,11
2021-08-01,9,0,< 1,0,12
2021-08-08,12,0,< 1,0,11
2021-08-15,9,0,< 1,0,11
2021-08-22,11,0,< 1,0,11
2021-08-29,12,0,< 1,0,11
2021-09-05,13,0,< 1,0,10
2021-09-12,16,0,< 1,0,10
2021-09-19,18,0,< 1,0,10
2021-09-26,22,0,< 1,0,9
2021-10-03,22,0,< 1,0,9
2021-10-10,21,0,< 1,0,10
2021-10-17,20,0,< 1,0,9
2021-10-24,18,0,< 1,0,9
2021-10-31,17,0,< 1,0,9
2021-11-07,15,0,< 1,0,9
2021-11-14,15,0,< 1,0,10
2021-11-21,11,0,< 1,0,9
